Puy,Tac,Pich
Acetobacteraceae,Acetobacteraceae,Acetobacteraceae
Brucellaceae,Brucellaceae,Brucellaceae
Comamonadaceae,Comamonadaceae,Comamonadaceae
Cryomorphaceae,Cryomorphaceae,Cryomorphaceae
Cytophagaceae,Cytophagaceae,Cytophagaceae
Erythrobacteraceae,Erythrobacteraceae,Erythrobacteraceae
Flavobacteriaceae,Flavobacteriaceae,Flavobacteriaceae
Gemmataceae,Gemmataceae,Gemmataceae
Hyphomicrobiaceae,Hyphomicrobiaceae,Hyphomicrobiaceae
Moraxellaceae,Moraxellaceae,Moraxellaceae
Pirellulaceae,Pirellulaceae,Pirellulaceae
Planctomycetaceae,Planctomycetaceae,Planctomycetaceae
Pseudomonadaceae,Pseudomonadaceae,Pseudomonadaceae
Rhodobacteraceae,Rhodobacteraceae,Rhodobacteraceae
Saprospiraceae,Saprospiraceae,Saprospiraceae
Xanthomonadaceae,Xanthomonadaceae,Xanthomonadaceae
Helicobacteraceae,Clostridiaceae,Chitinophagaceae
Thiotrichaceae,Chromatiaceae,Hyphomonadaceae
Campylobacteraceae,Chitinophagaceae,Rhizobiaceae
Bradyrhizobiaceae,Hyphomonadaceae,Oxalobacteraceae
Clostridiaceae,Rhizobiaceae,Methylophilaceae
Chromatiaceae,Oxalobacteraceae,Rhodospirillaceae
,Methylophilaceae,Mycobacteriaceae
,Rhodospirillaceae,Sphingomonadaceae
,Mycobacteriaceae,Caulobacteraceae
,Sphingomonadaceae,Chlamydomonadaceae
,Caulobacteraceae,Sinobacteraceae
,ACK-M1,Weeksellaceae
,,Microbacteriaceae
